species,name,group
Dog,Labrador Retriever/German Shepherd,Sporting; Herding
Dog,Dachshund Wirehair/Toy Poodle,Non-Sporting; Hound; Toy
Dog,English Springer Spaniel Mix,Sporting
Dog,Border Collie/German Shepherd,Herding
Dog,Newfoundland/Labrador Retriever,Sporting; Working
Dog,Plott Hound/Mastiff,Hound; Working
Dog,Labrador Retriever/St. Bernard Rough Coat,Sporting; Working
Dog,Border Collie/Parson Russell Terrier,Herding; Terrier
Dog,Pointer/Catahoula,Sporting; Toy
Dog,Dogue De Bordeaux/American Bulldog,Hound; Working
Dog,Collie Smooth/Siberian Husky,Herding; Working
Dog,Jack Russell Terrier/Pug,Toy; Terrier
Dog,Chihuahua Shorthair/Border Terrier,Toy; Terrier
Dog,Catahoula Mix,Toy
Dog,Spinone Italiano Mix,Sporting
Dog,Border Terrier/Dachshund Wirehair,Hound; Terrier
Dog,Australian Kelpie/Australian Shepherd,Herding; Terrier
Dog,German Shepherd/Cardigan Welsh Corgi,Herding
Dog,Dachshund Longhair/Cocker Spaniel,Sporting; Hound
Dog,Dalmatian,Non-Sporting
Dog,Scottish Terrier/Miniature Poodle,Toy; Terrier
Dog,St. Bernard Rough Coat,Working
Dog,Glen Of Imaal Mix,Terrier
Dog,Maltese/Border Terrier,Toy; Terrier
Dog,Australian Cattle Dog/Queensland Heeler,Herding
Dog,Anatol Shepherd/Labrador Retriever,Sporting; Working
Dog,Keeshond,Non-Sporting
Dog,Catahoula/Irish Wolfhound,Hound; Toy
Dog,Labrador Retriever,Sporting
Dog,Border Collie/Chow Chow,Non-Sporting; Herding
Dog,Chihuahua Shorthair/Jack Russell Terrier,Toy; Terrier
Dog,Dalmatian/Australian Cattle Dog,Non-Sporting; Herding
Dog,Bull Terrier/Jack Russell Terrier,Terrier
Dog,Chihuahua Shorthair/Beagle,Hound; Toy
Dog,American Staffordshire Terrier/Rhod Ridgeback,Hound; Terrier
Dog,Siberian Husky/Chinese Sharpei,Toy; Working
Dog,Pit Bull/Queensland Heeler,Herding; Terrier
Dog,Chihuahua Shorthair/Wire Hair Fox Terrier,Toy; Terrier
Dog,Cane Corso Mix,Working
Dog,Miniature Schnauzer/Queensland Heeler,Herding; Terrier
Dog,German Shepherd/Boxer,Herding; Working
Dog,Maltese/Chihuahua Shorthair,Toy
Dog,Border Terrier/Chihuahua Shorthair,Toy; Terrier
Dog,Labrador Retriever/Miniature Poodle,Sporting; Toy
